name,LocatorName,LocatorValue,LocatorType
form,id,//form[@id='custom-scopes-dialog-form'],XPath
input,name,//input[@name='authenticity_token'],XPath
input,id,//input[@id='custom_scope_id'],XPath
input,id,//input[@id='custom_scope_name'],XPath
input,type,//input[@type='hidden'],XPath
input,id,//input[@id='custom_scope_query'],XPath
button,type,//button[@type='button'],XPath
button,type,//button[@type='submit'],XPath
button,id,//button[@id='icon-button-b33ee735-948d-4693-91e5-1184c8fd641f'],XPath
tool-tip,id,//tool-tip[@id='tooltip-23e97116-6f50-47c6-9439-e12fcbfc3c1d'],XPath
div,id,//div[@id='start-of-content'],XPath
div,id,//div[@id='js-flash-container'],XPath
input,id,//input[@id='user_email'],XPath
input,name,//input[@name='source'],XPath
button,type,//button[@type='submit'],XPath
button,type,//button[@type='button'],XPath
div,id,//div[@id='sub-nav-dropdown'],XPath
div,id,//div[@id='productivity'],XPath
source,type,//source[@type='image/webp'],XPath
source,type,//source[@type='image/png'],XPath
source,type,//source[@type='image/webp'],XPath
source,type,//source[@type='image/png'],XPath
source,type,//source[@type='image/webp'],XPath
div,id,//div[@id='security'],XPath
source,type,//source[@type='image/webp'],XPath
source,type,//source[@type='image/png'],XPath
source,type,//source[@type='image/webp'],XPath
source,type,//source[@type='image/png'],XPath
source,type,//source[@type='image/webp'],XPath
source,type,//source[@type='image/png'],XPath
div,id,//div[@id='collaboration'],XPath
source,type,//source[@type='image/webp'],XPath
source,type,//source[@type='image/png'],XPath
source,type,//source[@type='image/webp'],XPath
source,type,//source[@type='image/png'],XPath
source,type,//source[@type='image/webp'],XPath
source,type,//source[@type='image/png'],XPath
button,type,//button[@type='button'],XPath
button,type,//button[@type='button'],XPath
button,type,//button[@type='button'],XPath
button,type,//button[@type='button'],XPath
button,type,//button[@type='button'],XPath
button,type,//button[@type='button'],XPath
button,type,//button[@type='button'],XPath
button,type,//button[@type='button'],XPath
button,type,//button[@type='button'],XPath
input,id,//input[@id='user_email'],XPath
input,name,//input[@name='source'],XPath
button,type,//button[@type='submit'],XPath
div,id,//div[@id='globe'],XPath
source,type,"//source[@type='video/mp4; codecs=hevc,mp4a.40.2']",XPath
source,type,"//source[@type='video/mp4; codecs=avc1.4D401E,mp4a.40.2']",XPath
source,type,"//source[@type='video/mp4; codecs=hevc,mp4a.40.2']",XPath
source,type,"//source[@type='video/mp4; codecs=avc1.4D401E,mp4a.40.2']",XPath
source,type,"//source[@type='video/mp4; codecs=avc1.4D401E,mp4a.40.2']",XPath
button,type,//button[@type='button'],XPath
sup,id,//sup[@id='footnote-1'],XPath
sup,id,//sup[@id='footnote-2'],XPath
sup,id,//sup[@id='footnote-3'],XPath
h3,id,//h3[@id='subscribe-to-newsletter'],XPath
